,rank,precision,generator_name,base,row_size
174,60,28.354879010806503,big_gauss,1.18,210
175,20,14.348711180637931,gauss_gauss,1.18,210
176,27,8.743257190191514,gauss_gauss,1.18,210
177,33,12.795385227184054,gauss_gauss,1.18,210
178,40,10.169674480624224,gauss_gauss,1.18,210
179,47,26.241296590906057,gauss_gauss,1.18,210
180,53,22.48146593560077,gauss_gauss,1.18,210
181,60,28.541782562150498,gauss_gauss,1.18,210
182,20,5.611946317551703,big_gauss,1.18,280
183,27,14.584202849534885,big_gauss,1.18,280
184,33,10.429756576862433,big_gauss,1.18,280
185,40,10.924303769322506,big_gauss,1.18,280
186,47,16.98145772034713,big_gauss,1.18,280
187,53,30.739483458853815,big_gauss,1.18,280
188,60,23.43714295713643,big_gauss,1.18,280
189,20,5.655866303585525,gauss_gauss,1.18,280
190,27,14.466983221913688,gauss_gauss,1.18,280
191,33,10.55335456476451,gauss_gauss,1.18,280
192,40,10.949962589760988,gauss_gauss,1.18,280
193,47,17.37515294680296,gauss_gauss,1.18,280
194,53,30.570348506352673,gauss_gauss,1.18,280
195,60,24.05892439046774,gauss_gauss,1.18,280
196,20,5.709822580732153,big_gauss,1.18,350
197,27,11.05530007239939,big_gauss,1.18,350
198,33,21.18929737852627,big_gauss,1.18,350
199,40,11.172910792381932,big_gauss,1.18,350
200,47,13.677726565654714,big_gauss,1.18,350
201,53,13.956944688884953,big_gauss,1.18,350
202,60,23.656145806946412,big_gauss,1.18,350
203,20,5.681345916794272,gauss_gauss,1.18,350
204,27,11.061781370595327,gauss_gauss,1.18,350
205,33,21.099743375369812,gauss_gauss,1.18,350
206,40,11.095140844023202,gauss_gauss,1.18,350
207,47,13.643260051204079,gauss_gauss,1.18,350
208,53,14.061551274684783,gauss_gauss,1.18,350
209,60,24.14008774841688,gauss_gauss,1.18,350
210,20,22.459432273257665,big_gauss,1.5,70
211,27,18.72924767055106,big_gauss,1.5,70
212,33,34.500554098910854,big_gauss,1.5,70
213,40,183.78050754627682,big_gauss,1.5,70
214,47,82.0746816455969,big_gauss,1.5,70
215,53,106.67238796838568,big_gauss,1.5,70
216,60,43.411528126564114,big_gauss,1.5,70
217,20,23.394589044624063,gauss_gauss,1.5,70
218,27,18.75823406404014,gauss_gauss,1.5,70
